sep=;
2013-12-05;94473
2013-12-08;77724
2013-12-09;95097
2013-12-10;127213
2013-12-17;213760
2013-12-24;424105
2013-12-31;601746
2014-01-08;885000
2014-01-15;886000
2014-01-21;922000
2014-01-28;825000
2014-02-04;838000
2014-02-11;714000
2014-02-18;698500
2014-02-25;701500
2014-03-08;602000
2014-03-17;615700
2014-03-25;625000
2014-04-03;632700
2014-04-08;628500
2014-04-15;643740
2014-04-22;602891
2014-05-11;567635
2014-05-22;554800
