sep=;
2011-12-31;0
2012-03-31;64620
2012-04-30;61587
2012-05-31;52524
2012-06-30;51778
2012-07-31;51419
2012-08-31;57436
2012-09-30;58965
2012-11-09;59822
2012-12-04;61171
2013-01-16;60432
2013-02-03;60752
2013-04-01;61703
2013-04-03;61153
2013-05-07;60385
2013-06-05;59642
2013-07-01;58484
2013-08-02;58276
2013-09-02;58710
2013-10-01;58331
2013-11-01;57724
2013-12-01;54618
2014-01-01;52786
2014-01-31;51525
2014-02-28;46267
2014-03-31;43613
2014-04-30;42026
